#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Provided by GlobeFunder.com
90,Alight,ALIT,$8.19,"$3,844.03",SaaS Provider,
91,Alaska Air Group,ALK,$44.22,"$5,608.77",Airlines,
92,Alkermes,ALKS,$25.52,"$4,193.25",Biopharmaceuticals,
93,Alkami Technology,ALKT,$13.91,"$1,272.46",Software,
94,Allstate,ALL,$131.19,"$34,792.83",P&C Insurance,
95,Allegion,ALLE,$103.86,"$9,123.56",Security,
96,Allogene Therapeutics,ALLO,$6.91,$996.49,Healthcare,
97,Allot Communications,ALLT,$2.86,$347.63,Communications,
98,Ally Financial,ALLY,$24.55,"$7,331.78",Banking,
99,Alnylam Pharmaceuticals,ALNY,$236.92,"$29,147.84",Biopharmaceuticals,
100,Alarm.com,ALRM,$50.25,"$2,508.02",Home Automation,
101,Allison Transmission,ALSN,$42.28,"$3,910.50",Transportation Equipment,
102,Altair Engineering,ALTR,$44.97,"$3,604.00",Software,
103,Autoliv,ALV,$76.11,"$6,559.75",Automotive Safety,
104,Alexander's,ALX,$227.96,"$1,164.26",REIT,
105,Applied Materials,AMAT,$104.73,"$90,100.20",Semiconductors,
106,Ambarella,AMBA,$82.60,"$3,201.32",Semiconductors,
107,AMC,AMC,$5.31,"$2,744.32",Entertainment,
108,Amcor,AMCR,$12.08,"$20,850.22",Packaging,
109,AMC Networks,AMCX,$16.78,$721.20,Entertainment,
110,Advanced Micro Devices,AMD,$65.41,"$105,464.21",Semiconductors,
111,Ametek,AME,$136.77,"$31,409.82",Industrial Products,
112,Amedisys,AMED,$84.75,"$2,753.70",Healthcare,
113,Apollo Medical Holdings,AMEH,$31.14,"$1,766.37",Healthcare,
114,Affiliated Managers Group,AMG,$154.97,"$5,837.51",Financial Services,
115,Amgen,AMGN,$267.41,"$142,684.44",Biotechnology,
116,American Homes 4 Rent,AMH,$30.83,"$10,896.69",Real Estate,
117,AssetMark Financial Holdings,AMK,$23.09,"$1,705.13",Asset Management,
118,Amkor Technology,AMKR,$25.20,"$6,173.36",Semiconductors,
119,Amylyx Pharmaceuticals,AMLX,$35.67,"$2,363.36",Biotechnology,
120,AMN Healthcare Services,AMN,$104.85,"$4,543.77",Employment Agency,
121,Ameriprise Financial,AMP,$312.18,"$33,221.29",Financial Services,
122,Amphastar Pharmaceuticals,AMPH,$28.68,"$1,386.14",Biopharmaceutical,
123,Amplitude Inc,AMPL,$12.76,"$1,443.67",Software,
124,Altus Power Inc,AMPS,$6.58,"$1,053.04",Energy,
125,Alpha Metallurgical Resources Inc,AMR,$145.30,"$2,316.61",Mining company,
126,Ameresco,AMRC,$60.34,"$3,132.50",Renewable Energy Solutions,
127,Amneal Pharmaceuticals,AMRX,$2.23,$677.01,Pharmaceuticals,
128,Amerisafe,AMSF,$49.22,$942.85,Insurance,
129,American Tower,AMT,$213.45,"$99,383.56",Real Estate,
130,Amazon,AMZN,$87.86,"$896,316.98",E-commerce,
131,AutoNation Inc,AN,$111.69,"$5,536.74",Automotive,
132,Andersons Inc,ANDE,$33.98,"$1,138.43",Agribusiness,
133,Arista Networks,ANET,$123.66,"$37,787.11",Computer Hardware,
134,Abercrombie & Fitch,ANF,$21.78,"$1,067.26",Clothes Retailer,
135,ANGI Homeservices,ANGI,$2.14,"$1,079.57",Home Marketplace,
136,Ansys,ANSS,$242.79,"$21,149.98",Software Developer,
137,Aon,AON,$298.76,"$61,799.37",Insurance,
138,AO Smith,AOS,$56.05,"$8,563.07",Water Boilers,
139,Apache,APA,$43.79,"$14,079.00",Oil & Gas,
140,Artisan Partners Asset Management Inc,APAM,$31.30,"$2,491.84",Investment,
141,Air Products and Chemicals,APD,$316.42,"$70,241.32",Gases & Chemicals,
142,AMC Entertainment Preferred Equity Units,APE,$0.73,"$2,744.32",-,
143,APi Group Corp,APG,$18.62,"$4,355.35",Construction,
144,Amphenol,APH,$77.66,"$46,215.04",Computer Hardware,
145,Apple Hospitality REIT Inc,APLE,$16.22,"$3,710.37",Real estate,
146,Apellis Pharmaceuticals Inc,APLS,$53.00,"$5,860.50",Pharmaceutical,
147,Apollo Global Management,APO,$62.51,"$37,506.00",Asset Management,
148,Apogee Enterprises,APOG,$42.93,$953.39,Architectural Services,
149,AppLovin Corp,APP,$9.82,"$3,649.99",Mobile App Platform,
150,Appfolio,APPF,$106.43,"$3,742.20",Software,
151,Appian Corporation,APPN,$35.51,"$2,576.17",Software,
152,Digital Turbine,APPS,$15.21,"$1,506.05",Software,
153,Aptiv,APTV,$93.48,"$25,328.36",Automotive industry,
154,Algonquin Power & Utilities,AQN,$6.89,"$6,339.31",Renewable energy,
155,Evoqua Water Technologies,AQUA,$40.21,"$4,898.06",Provider of water,
156,Antero Resources Corporation,AR,$33.95,"$10,189.63",Oil & Gas,
157,ArcBest Corp,ARCB,$74.59,"$1,821.33",Services,
158,Ares Capital,ARCC,$18.36,"$9,500.55",Asset Management,
159,Arch Resources,ARCH,$141.67,"$2,561.79",Coal mining,
160,Arcturus Therapeutics Holdings Inc,ARCT,$18.03,$477.67,Biotechnology,
161,argenx,ARGX,$385.81,"$20,249.31",Biotechnology,
162,Apollo Commercial Real Estate Finance,ARI,$11.15,"$1,567.64",Real Estate,
163,Arko Corp,ARKO,$8.81,"$1,057.86",Grocery,
164,Aramark,ARMK,$41.51,"$10,740.48",Restaurant Chains,
165,Arconic,ARNC,$22.02,"$2,234.69",Metal Products,
166,Arcutis Biotherapeutics Inc,ARQT,$15.96,$972.41,Biotech,
167,ARMOUR Residential,ARR,$5.67,$749.23,Real Estate,
168,Arvinas Inc,ARVN,$36.04,"$1,918.32",Pharmaceutical,
169,Arrow Electronics,ARW,$105.12,"$6,465.75",Electronics,
170,Asana Inc,ASAN,$14.00,"$2,978.84",Team Management Software,
171,Associated Banc Corp,ASB,$22.03,"$3,312.41",Banking,
172,ASGN,ASGN,$81.28,"$4,055.87",IT,
173,Ashland Global Holdings,ASH,$106.21,"$5,763.11",Basic Materials,
174,AdvanSix Inc,ASIX,$39.27,"$1,082.55",Chemicals,
175,AerSale Corp,ASLE,$14.84,$768.34,Aircraft,
176,ASML Holding,ASML,$574.32,"$218,540.40",Semiconductors,
177,Ascendis Pharma AS,ASND,$118.60,"$6,763.43",Pharmaceutics,
178,Academy Sports and Outdoors Inc,ASO,$52.55,"$4,106.51",Sporting goods,
179,Atlas,ATCO,$15.31,"$4,305.96",Industrials,
180,Alphatec Holdings,ATEC,$10.71,"$1,125.17",Medical Technology,
181,A10 Network,ATEN,$16.64,"$1,222.17",Manufacturer,
182,Anterix,ATEX,$31.63,$599.21,Wireless Communication,
183,Adtalem Global Education Inc,ATGE,$36.01,"$1,635.02",Education,
184,Autohome,ATHM,$31.60,"$31,098.11",Car Dealership,
185,Allegheny Technologies,ATI,$29.34,"$3,797.11",Metals company,
186,Atkore,ATKR,$116.89,"$4,659.85",Supplier,
187,Atmos Energy,ATO,$114.77,"$16,171.15",Gas,
188,AptarGroup,ATR,$107.44,"$7,014.11",Package Solutions,
189,AtriCure,ATRC,$41.37,"$1,924.05",Medical Devices,
190,Atrion,ATRI,$553.63,$981.38,Medical Devices,
191,Air Transport Services Group,ATSG,$26.64,"$1,937.48",Airlines,
192,Altice USA,ATUS,$3.80,"$1,727.74",Communications,
193,Activision Blizzard,ATVI,$76.08,"$59,542.13",Video Games,
194,AngloGold Ashanti,AU,$18.72,"$142,101.76",Metals Mining,
195,Atlantic Union Bankshares,AUB,$34.05,"$2,543.93",Financial Services,
196,Yamana Gold,AUY,$5.42,"$5,209.71",Gold Mining,
197,Avista Corporation,AVA,$42.20,"$3,113.34",Utilities,
198,AvalonBay Communities,AVB,$165.00,"$23,083.05",Real Estate,
199,Broadcom,AVGO,$555.91,"$235,969.89",Semiconductors,
200,Avid Technology,AVID,$24.99,"$1,091.84",Technology,
201,Avanos Medical Inc,AVNS,$26.07,"$1,212.19",Healthcare,
202,Avient Corp,AVNT,$33.47,"$3,043.88",Basic Materials,
203,Mission Produce Inc,AVO,$15.05,"$1,063.50",Food company,
