#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Provided by GlobeFunder.com
393,Cadence Design Systems,CDNS,$163.20,"$44,768.37",System Design,
394,CADRE HOLDINGS,CDRE,$21.57,$805.26,Technology,
395,CDW,CDW,$181.28,"$24,543.66",Technology,
396,Codexis,CDXS,$5.28,$346.83,Biotechnology,
397,Celanese,CE,$101.53,"$11,008.69",Technology,
398,Constellation Energy Corp,CEG,$88.20,"$28,842.98",Energy,
399,Consol Energy Inc,CEIX,$69.17,"$2,412.05",Energy company,
400,Celsius Holdings,CELH,$108.80,"$8,293.30",Beverages,
401,Central Garden & Pet,CENT,$36.63,"$1,977.70",Retail,
402,Cerevel Therapeutics Holdings Inc,CERE,$25.35,"$3,962.00",Biotech,
403,Certara,CERT,$16.17,"$2,581.91",Software,
404,Central Securities Corporation,CET,$33.90,$924.45,Investment Company,
405,CF Industries Holdings,CF,$95.07,"$18,651.73",Fertilisers,
406,Citizens Financial Group,CFG,$38.33,"$18,877.17",Banking,
407,Confluent,CFLT,$23.01,"$6,590.10",Software,
408,Frost Bank,CFR,$125.74,"$8,084.92",Financial Services,
409,Carlyle Group,CG,$29.49,"$10,722.72",Asset Management,
410,Canopy Growth Corporation,CGC,$2.60,"$1,704.93",Cannabis,
411,Cognex Corporation,CGNX,$47.88,"$8,279.89",Software,
412,City Holding Co,CHCO,$91.69,"$1,362.12",Financial Services,
413,Church & Dwight,CHD,$80.11,"$19,536.29",Manufacturing,
414,Churchill Downs,CHDN,$215.84,"$8,073.12",Online wagering,
415,Chemed Corp,CHE,$502.89,"$7,478.13",Healthcare,
416,Chef's Warehouse,CHEF,$34.26,"$1,311.13",Food,
417,Chegg,CHGG,$27.72,"$3,478.23",Education Tech,
418,Choice Hotels International,CHH,$114.58,"$6,107.02",Hospitality,
419,Chesapeake Energy Corp.,CHK,$97.65,"$13,082.27",Gas,
420,Check Point Software Technologies,CHKP,$129.05,"$16,655.92",IT Security,
421,ChargePoint Holdings,CHPT,$10.45,"$3,570.60",EV Charging,
422,Chord Energy,CHRD,$132.46,"$5,511.16",Oli & Gas,
423,CH Robinson Worldwide,CHRW,$94.08,"$11,074.10",Transport,
424,Chico's FAS,CHS,$5.04,$630.35,Apparel Retail,
425,Chunghwa Telecom,CHT,$35.87,"$864,955.23",Telecommunication,
426,Charter Communications,CHTR,$304.96,"$47,473.79",Cable Services,
427,Chewy,CHWY,$42.41,"$17,954.20",Pet E-commerce,
428,ChampionX,CHX,$27.76,"$5,534.23",Energy,
429,Cigna,CI,$327.29,"$100,065.32",Medical Insurance,
430,Ciena Corporation,CIEN,$48.42,"$7,186.15",Communications,
431,Companhia Energética de Minas Gerais,CIG,$2.04,"$28,519.99",Energy Production,
432,Colliers International Group,CIGI,$89.19,"$3,703.24",Real Estate,
433,Chimera Investment,CIM,$6.19,"$1,434.56",Real Estate,
434,CinCor Pharma Inc,CINC,$11.72,$512.92,Pharmaceutical,
435,Cincinnati Financial,CINF,$102.22,"$16,273.36",Insurance,
436,CI Financial Corp,CIXX,$9.83,"$2,521.80",Wealth management,
437,Colgate-Palmolive,CL,$77.76,"$64,946.25",Toothpaste & Soap,
438,Columbia Financial Inc,CLBK,$20.85,"$2,284.65",Bank holding,
439,Cellebrite,CLBT,$4.34,$823.08,Digital Intelligence,
440,Celldex Therapeutics,CLDX,$43.52,"$2,049.79",Biotechnology,
441,Cleveland-Cliffs Inc.,CLF,$15.13,"$7,796.53",Iron Mining,
442,Clearfield Inc,CLFD,$99.07,"$1,505.71",Manufacturer,
443,Clean Harbors Inc,CLH,$115.00,"$6,218.54",Environmental services,
444,Clean Energy Fuels,CLNE,$5.83,"$1,296.76",Energy,
445,Continental Resources,CLR,$2.33,$26.88,Oil & Gas,
446,Celestica,CLS,$11.03,"$1,353.54",Electronics,
447,Clarivate,CLVT,$8.32,"$5,609.25",Analytics,
448,The Clorox Company,CLX,$144.60,"$17,841.43",Household Products,
449,Canadian Imperial Bank Of Commerce,CM,$40.50,"$36,713.58",Financial Services,
450,Comerica,CMA,$63.76,"$8,349.52",Banking and Wealth,
451,Commercial Metals Company,CMC,$48.15,"$5,650.77",Steel Production,
452,Comcast,CMCSA,$34.49,"$149,114.38",Media,
453,CME Group (Class A),CME,$171.12,"$61,556.12",Financial Exchange,
454,Chipotle Mexican Grill,CMG,"$1,462.11","$40,531.30",Mexican Food,
455,Cummins,CMI,$235.60,"$33,219.60",Heavy Equipment,
456,Compass Minerals,CMP,$42.31,"$1,735.70",Mining,
457,Cimpress,CMPR,$24.33,$638.24,Mass Customization,
458,Costamare,CMRE,$8.84,"$1,113.66",Shipping,
459,CMS Energy,CMS,$61.91,"$17,969.47",Energy,
460,Claros Mortgage Trust,CMTG,$15.60,"$2,158.67",REIT,
461,CNA Financial,CNA,$40.65,"$11,011.81",Insurance,
462,Centene,CNC,$81.40,"$46,093.54",Health Insurance,
463,Conduent,CNDT,$3.77,$814.02,Business Software,
464,CNH Industrial,CNHI,$15.82,"$20,523.61",Agricultural Machinery,
465,Canadian National Railway Company,CNI,$121.60,"$82,342.19",Transport,
466,Cinemark Holdings,CNK,$10.83,"$1,304.20",Entertainment,
467,Core & Main,CNM,$19.88,"$4,888.46",Industrial Services,
468,CONMED,CNMD,$84.96,"$2,589.78",Medical Devices,
469,CNO Financial Group,CNO,$21.75,"$2,488.27",Financial Services,
470,ConnectOne Bancorp,CNOB,$23.20,$910.44,Financial Services,
471,CenterPoint Energy,CNP,$30.01,"$18,892.37",Energy Provider,
472,Canadian Natural Resources,CNQ,$52.44,"$58,056.74",Oil & Gas,
473,Cohen & Steers,CNS,$64.33,"$3,133.28",Asset Management,
474,CNX Resources,CNX,$16.37,"$2,954.41",Oil & Gas,
475,Concentrix,CNXC,$124.48,"$6,431.81",Business Services,
476,PC Connection,CNXN,$48.42,"$1,272.88",IT Solutions,
477,The Vita Coco Company,COCO,$13.55,$757.77,Drink Company,
478,Compass Diversified Holdings,CODI,$16.95,"$1,223.84",-,
479,Capital One,COF,$90.10,"$34,391.03",Credit Services,
480,COGENT BIOSCIENCES,COGT,$11.91,$832.43,Biotech,
481,Coherent Corporation,COHR,$34.76,"$4,820.86",Optical Devices,
482,Coinbase,COIN,$36.60,"$8,306.94",Crypto Exchange,
483,Coca-Cola Bottling,COKE,$499.21,"$4,679.44",Beverages,
484,Americold Realty Trust,COLD,$28.21,"$7,599.75",Warehouses,
485,Columbia Sportswear,COLM,$84.43,"$5,244.25",Outerwear,
486,CommScope Holding Company,COMM,$7.43,"$1,548.04",Communications,
487,Compass,COMP,$2.67,"$1,162.71",Real estate,
488,Conx Corp,CONX,$9.99,$936.86,Space and Telecommunications oriented SPAC,
489,CooperCompanies,COO,$317.86,"$15,687.79",Medical Devices,
490,Mr Cooper Group,COOP,$40.75,"$2,875.51",Home loan servicer,
491,ConocoPhillips,COP,$110.44,"$137,616.08",Oil & Gas,
492,Corcept Therapeutics,CORT,$20.09,"$2,162.68",Pharmaceuticals,
493,Costco Wholesale,COST,$461.45,"$204,810.43",Members Only Shop,
494,Coty,COTY,$7.94,"$6,749.89",Package Solutions,
495,Coupa Software,COUP,$78.72,"$5,994.59",Software,
496,Coursera,COUR,$12.70,"$1,861.57",Education,
497,Cowen Group,COWN,$38.62,"$1,081.91",Financial Services,
498,Canadian Pacific Railway Limited,CP,$75.35,"$95,989.31",Transport,
499,Copa Holdings,CPA,$81.71,"$3,674.64",Airlines,
500,Campbell Soup Company,CPB,$57.06,"$17,087.61",Food Processing,
501,Callon Petroleum Co,CPE,$34.65,"$2,134.74",Oil & Gas,
502,Chesapeake Utilities,CPK,$117.17,"$2,078.72",Energy,
503,Coupang,CPNG,$16.17,"$28,625.72",e-commerce,
504,Capri Holdings,CPRI,$57.37,"$7,388.86",Fashion,
505,Copart,CPRT,$60.39,"$28,763.75",Vehicle Auctions,
506,Catalyst Pharmaceuticals,CPRX,$16.00,"$1,665.14",Pharmaceutical,
507,Camden Property Trust,CPT,$112.20,"$11,952.44",REIT,
508,Crane Co.,CR,$96.26,"$5,404.46",Industrial Products,
509,California Resources,CRC,$43.17,"$3,171.74",Oil & Gas,
510,Cricut,CRCT,$8.99,"$1,985.16",Electronics,
511,Credo Technology Group,CRDO,$13.73,"$2,015.04",Digital Infrastructure,
512,Crescent Energy,CRGY,$11.72,"$1,956.39",Energy,
513,CRH ADR,CRH,$39.02,"$23,916.98",Building Materials,
514,Cohn Robbins Holdings Corp,CRHC,#N/A,#N/A,Target: Allwyn,
515,Carter’s,CRI,$69.31,"$2,644.98",Apparel,
516,Comstock Resources Inc,CRK,$14.77,"$4,098.79",Gas company,
517,Charles River Laboratories,CRL,$215.42,"$10,960.28",Pharmaceuticals,
518,Salesforce,CRM,$128.27,"$128,270.00",CRM Services,
519,Cerence,CRNC,$18.35,$732.94,Software,
520,Crinetics Pharmaceuticals Inc,CRNX,$16.85,$906.71,Biotech,
521,Crocs,CROX,$95.01,"$5,866.39",Footwear,
522,Carpenter Technology Corporation,CRS,$37.43,"$1,813.29",Steel Production,
523,CRISPR Therapeutics AG,CRSP,$46.41,"$3,633.63",Gene Editing,
524,Corsair Gaming,CRSR,$14.89,"$1,506.53",Gaming,
525,Criteo,CRTO,$25.48,"$1,534.17",Advertising,
526,Cirrus Logic,CRUS,$76.81,"$4,229.20",Semiconductors,
527,CorVel Corporation,CRVL,$138.80,"$2,396.41",Insurance,
528,CrowdStrike,CRWD,$111.50,"$26,134.90",Cybersecurity,
529,Cisco,CSCO,$47.81,"$196,408.41",Telecom Equipment,
530,CoStar Group,CSGP,$77.98,"$31,713.69",Real Estate Data,
531,CSG International,CSGS,$55.26,"$1,740.99",Software,
532,Canadian Solar,CSIQ,$34.11,"$2,192.21",Solar Panels,
533,Carlisle Companies,CSL,$238.99,"$12,359.60",Manufacturing,
534,Castle Biosciences,CSTL,$24.07,$634.28,Diagnostics,
535,Constellium,CSTM,$11.28,"$1,627.72",Aluminium Production,
536,CSW Industrials,CSWI,$116.42,"$1,801.82",Industrial Products,
537,CSX,CSX,$31.65,"$66,541.21",Rail Logistics,
538,Cintas,CTAS,$445.28,"$45,216.09",Uniform Suppliers,
539,Cytek Biosciences,CTKB,$10.49,"$1,414.61",Biotechnology,
540,Catalent,CTLT,$44.26,"$7,965.18",Pharmaceuticals,
541,Coterra Energy,CTRA,$24.74,$450.62,Oli & Gas,
542,CTS Corporation,CTS,$38.40,"$1,224.19",Electronics,
543,Cognizant Technology Solutions,CTSH,$55.56,"$28,553.47",IT Services,
544,Corteva,CTVA,$59.78,-,Agriscience,
545,CubeSmart,CUBE,$40.44,"$9,081.80",REIT,
546,Customers Bancorp,CUBI,$26.89,$874.34,Financial Services,
547,Cutera,CUTR,$45.57,$893.88,Medical Devices,
548,Cousins Properties,CUZ,$24.96,"$3,779.80",REIT,
549,CureVac,CVAC,$6.81,"$1,295.83",Biopharmaceuticals,
550,CVB Financial Corporation,CVBF,$25.53,"$3,569.30",Financial Services,
551,Cavco Industries,CVCO,$228.38,"$2,034.71",Manufactured Housing,
552,Cenovus Energy Inc,CVE,$17.70,"$33,947.56",Oil & Gas,
553,CommVault,CVLT,$63.23,"$2,815.76",Software,
554,Carvana Co.,CVNA,$5.03,$949.91,Car Dealership,
555,CVS Health,CVS,$95.45,"$125,418.15",Healthcare,
556,Chevron,CVX,$168.72,"$326,243.41",Oil & Gas,
557,Curtiss-Wright Corporation,CW,$165.35,"$6,334.17",Defense,
558,Clearwater Analytics,CWAN,$18.36,"$4,375.96",SaaS,
559,Clearway Energy,CWEN,$32.51,"$6,391.46",Renewable Energy,
560,Camping World,CWH,$23.56,"$1,969.60",RV Retailer,
561,Cushman & Wakefield,CWK,$11.24,"$2,537.50",Real Estate,
562,Casella Waste Systems,CWST,$81.44,"$4,208.84",Waste Management,
563,California Water Service Group,CWT,$60.43,"$3,313.01",Utility company,
564,"CEMEX, S.A.B. de C.V.",CX,$4.03,"$6,146.90",Building Materials,
565,"Sprinklr, Inc.",CXM,$8.84,"$2,307.53",Technology,
566,CyberArk Software,CYBR,$131.95,"$5,372.52",Software,
567,Community Health Systems,CYH,$3.81,$513.26,Healthcare,
568,Cryoport Inc,CYRX,$17.72,$868.28,Pharmaceutical,
569,Cytokinetics,CYTK,$43.71,"$4,136.32",Biotech,
570,Cyxtera Technologies,CYXT,$1.97,$353.85,IT Services,
571,Caesars Entertainment Inc.,CZR,$47.26,"$10,140.39",Casinos & Hotels,
572,Dominion Energy,D,$58.62,"$48,846.59",Energy,
573,Delta Air Lines,DAL,$33.11,"$21,229.74",Airline Service,
574,Dana Holding,DAN,$15.56,"$2,230.58",Auto Parts,
575,Youdao,DAO,$5.20,$655.04,E-learning,
576,Darling Ingredients,DAR,$60.82,"$9,747.71",Agri-food,
577,DoorDash Inc,DASH,$52.52,"$20,389.17",Food Delivery,
578,Endava Ltd,DAVA,$77.48,"$4,409.42",Technology,
579,Day One Biopharmaceuticals Inc,DAWN,$21.42,"$1,575.43",Biotech,
580,Deutsche Bank AG,DB,$10.49,"$20,653.17",Global Banking Group,
581,DigitalBridge Group,DBRG,$12.16,"$1,944.33",Real Estate,
582,Dropbox,DBX,$23.20,"$8,415.48",Cloud Storage,
583,Docebo Inc,DCBO,$33.75,"$1,521.73",Learning management,
584,Donaldson Company Inc,DCI,$58.74,"$7,147.89",Production,
585,Dime Community Bancshares,DCOM,$31.28,"$1,206.58",Financial Services,
586,Duck Creek Technologies Inc,DCT,$11.76,"$1,561.02",Software,
587,DuPont,DD,$67.91,"$33,736.94",Chemicals,
588,Datadog,DDOG,$77.83,"$24,714.10",Cloud Services,
589,Dillard's,DDS,$299.18,"$5,123.43",Retail,
590,John Deere,DE,$431.09,"$130,111.45",Farm Machinery,
591,Deckers Outdoor,DECK,$369.51,"$9,779.74",Fashion,
592,Douglas Emmett Inc,DEI,$15.82,"$2,780.98",Real estate,
593,Dell Technologies,DELL,$39.25,"$28,108.03",Technology,
594,Denbury Resources,DEN,$87.08,"$4,336.59",Energy,
595,Diageo,DEO,$178.86,"$81,988.20",Alcoholic Beverages,
596,Dream Finders Homes Inc,DFH,$9.37,$869.16,Construction,
597,Donnelley Financial Solutions,DFIN,$36.45,"$1,060.84",Financial Services,
598,Discover Financial Services,DFS,$96.89,"$26,472.84",Consumer Banking,
599,Dollar General,DG,$248.25,"$55,502.42",Discount Stores,
600,Digi International,DGII,$37.44,"$1,335.36",Technology,
601,Quest Diagnostics,DGX,$149.24,"$16,996.56",Diagnostics,
602,Definitive Healthcare Corp,DH,$11.70,"$1,229.44",Technology,
603,DR Horton,DHI,$89.38,"$30,795.69",Homebuilding,
604,Danaher,DHR,$262.03,"$190,748.09",Medical Diagnostics,
605,Dine Brands Global Inc,DIN,$67.18,"$1,053.28",Restaurants,
606,HF Sinclair,DINO,$50.76,"$10,189.07",Oil & Gas,
607,Diodes Incorporated,DIOD,$80.52,"$3,661.22",Electronics,
608,Walt Disney,DIS,$90.08,"$164,269.08",Theme Parks & Movies,
609,DISH Network,DISH,$14.41,"$7,647.47",Television Service,
610,Delek US Energy Inc,DK,$26.28,"$1,831.51",Energy,
611,DraftKings Inc,DKNG,$12.12,"$5,440.04",Sports betting,
612,Dick's Sporting Goods,DKS,$111.82,"$9,327.07",Retail,
613,Dolby Laboratories,DLB,$70.80,"$6,793.80",Production,
614,dLocal,DLO,$13.55,"$4,010.60",Financial Services,
615,Digital Realty Trust,DLR,$101.54,"$29,195.00",Real Estate,
616,Dollar Tree,DLTR,$142.65,"$31,551.95",Discount Stores,
617,Deluxe Corporation,DLX,$16.38,$706.57,Corporate Services,
618,Dun And Bradstreet Holding Inc,DNB,$12.80,"$5,577.36",Industrials,
619,Denali Therapeutics,DNLI,$28.69,"$3,896.49",Biotech,
620,Now,DNOW,$12.42,"$1,371.66",Oil & Gas,
621,Krispy Kreme,DNUT,$11.74,"$1,965.71",Restaurant Chain,
622,DigitalOcean Holdings,DOCN,$28.18,"$2,713.65",Software,
623,Doximity,DOCS,$35.09,"$6,754.41",Social Networking,
624,DocuSign,DOCU,$56.27,"$11,314.45",eSignatures,
625,Bombardier Recreational Products,DOOO,$75.84,"$8,184.02",Manufacturing,
626,Masonite International Corp,DOOR,$78.25,"$1,743.10",Manufacturer,
627,Dorman Products,DORM,$80.55,"$2,530.77",Automotive,
628,Douglas Elliman,DOUG,$3.86,$313.62,Real Estate,
629,Dover Corporation,DOV,$133.48,"$19,160.96",Conglomerate,
630,The Dow Chemical Company,DOW,$49.80,"$35,047.21",Chemicals,
631,Amdocs,DOX,$87.47,"$10,570.11",Software,
632,Domino's Pizza,DPZ,$357.23,"$12,645.71",Pizza Chain,
633,Daqo New Energy Corp,DQ,$44.57,"$3,320.77",Energy Materials,
634,Darden Restaurants,DRI,$139.90,"$17,121.94",Restaurant Chains,
635,Dril-Quip,DRQ,$23.23,$787.96,Oil & Gas,
636,Driven Brands Holdings,DRVN,$26.97,"$4,514.89",Services,
637,"Design Therapeautics, Inc.",DSGN,$8.76,$489.77,Services,
638,Descartes Systems Group Inc,DSGX,$68.76,"$5,838.79",Software,
639,Dynatrace,DT,$38.70,"$11,139.91",Software,
640,DTE Energy Co,DTE,$115.82,"$22,439.20",Energy,
641,DT Midstream,DTM,$55.35,"$5,355.17",Energy,
642,Duke Energy,DUK,$100.34,"$77,268.09",US Utilities,
643,Duolingo,DUOL,$72.99,"$2,931.99",Language learning,
644,"DoubleVerify Holdings, Inc.",DV,$23.54,"$3,881.16",Software,
645,DaVita HealthCare Partners,DVA,$72.41,"$6,524.14",Healthcare,
646,Dynavax Technologies Corporation,DVAX,$11.17,"$1,425.12",Biotech,
647,Devon Energy,DVN,$60.08,"$39,274.30",Oil & Gas,
648,Digital World Acquisition Corp.,DWAC,$19.22,$715.27,General purpose SPAC,
649,DXC Technology,DXC,$26.30,"$6,050.71",IT Services,
650,DexCom Inc,DXCM,$114.63,"$44,276.75",Biotechnology,
651,Dycom Industries Inc,DY,$88.37,"$2,611.92",Telecom,
652,Eni ADR,E,$27.65,"$46,743.64",Utilities,
653,Electronic Arts,EA,$121.74,"$33,610.00",Video Games,
654,Brinker International,EAT,$35.43,"$1,560.04",Food company,
655,Eventbrite,EB,$5.92,$584.25,Event Ticketing,
656,eBay,EBAY,$41.00,"$22,249.02",Online Marketplace,
657,Eastern Bankshares Inc,EBC,$17.20,"$3,038.87",Bank holding,
658,Ecolab,ECL,$144.05,"$41,029.47",Cleaning Chemicals,
659,Encore Capital Group Inc,ECPG,$46.88,"$1,096.32",Debt collection,
660,Consolidated Edison,ED,$95.17,"$33,772.29",US Utilities,
661,Editas Medicine,EDIT,$10.27,$706.20,Biotechnology,
662,New Oriental Education & Tech Group,EDU,$34.40,"$47,024.17",Education,
663,Excelerate Energy Inc,EE,$25.77,"$2,790.26",Gas company,
664,Euronet Worldwide,EEFT,$90.27,"$4,476.84",Payment Services,
665,Enterprise Financial Services,EFSC,$47.13,"$1,754.34",Bank holding,
666,Equifax,EFX,$191.90,"$23,496.89",Business Services,
667,Eldorado Gold Corporation,EGO,$8.26,"$1,529.17",Gold Mining,
668,EastGroup Properties,EGP,$147.40,"$6,422.81",REIT,
669,Enhabit,EHAB,$13.46,$667.86,Healthcare,
670,Encompass Health Corp,EHC,$57.65,"$5,752.81",Healthcare,
671,Employers Holdings,EIG,$41.07,"$1,116.97",Insurance,
672,Edison International,EIX,$65.10,"$24,860.04",Utilities,
673,Estee Lauder,EL,$240.94,"$85,970.36",Beauty Products,
674,Elanco Animal Health,ELAN,$12.02,"$5,699.95",Pharmaceuticals,
675,ELF Beauty,ELF,$54.95,"$2,908.95",Cosmetics,
676,Electric Last Mile Solutions,ELMSQ,$0.01,$1.45,Electric Vehicles,
677,Elevance Health,ELV,$502.05,"$119,903.40",Insurance,
678,Embecta,EMBC,$33.62,"$1,944.46",Diabetes Care,
679,EMCOR Group Inc,EME,$148.17,"$7,061.08",Engineering,
680,Eastman Chemical,EMN,$82.33,"$9,878.80",Chemical industry,
681,Emerson,EMR,$94.96,"$56,159.34",Industrial Products,
682,Enbridge,ENB,$38.37,"$77,706.04",Gas Distribution,
683,Enfusion Inc,ENFN,$9.16,"$1,044.75",Software,
684,EnLink Midstream LLC,ENLC,$11.56,"$5,474.77",Oil & Gas,
685,Enphase Energy Inc,ENPH,$303.39,"$41,237.83",Solar Energy,
686,Energizer Holdings Inc,ENR,$33.58,"$2,393.99",Manufacturer,
687,Enersys,ENS,$74.18,"$3,028.74",Energy systems,
688,The Ensign Group,ENSG,$95.67,"$5,308.18",Healthcare,
689,Enanta Pharmaceuticals,ENTA,$45.36,$943.37,Biotechnology,
690,Entegris,ENTG,$66.32,"$9,883.97",Manufacturing,
691,Envestnet,ENV,$59.15,"$3,272.54",Industrials,
692,Enova International,ENVA,$37.61,"$1,183.21",-,
693,Enovix,ENVX,$11.19,"$1,757.99",Financials,
694,EOG Resources,EOG,$125.77,"$73,875.96",Oil & Gas,
695,Enerpac Tool Group,EPAC,$23.26,"$1,322.82",Industrial Products,
696,EPAM Systems,EPAM,$333.30,"$19,169.25",Software Services,
697,Edgewell Personal Care Co,EPC,$37.98,"$1,953.82",Personal care,
698,EPR Properties,EPR,$40.22,"$3,017.35",Real Estate,
699,Essential Properties Realty Trust Inc,EPRT,$22.64,"$3,223.42",Real estate,
700,AXA Equitable Holdings,EQH,$28.81,"$10,660.92",Insurance,
701,Equinix,EQIX,$667.84,"$61,800.65",Data Centers,
702,Equinor,EQNR,$36.09,"$116,582.29",Energy,
703,Equity Residential,EQR,$60.83,"$22,988.80",Real Estate,
704,EQRx,EQRX,$2.18,"$1,064.78",Healthcare,
705,EQT Corporation,EQT,$37.24,"$13,668.79",Oil & Gas,
706,Enerplus Corp,ERF,$16.43,"$3,688.92",Energy,
707,Erie Indemnity,ERIE,$269.45,"$12,446.33",Insurance,
708,Embraer,ERJ,$10.29,"$10,033.30",Aerospace,
709,Ero Copper Corp,ERO,$14.34,"$1,810.70",Mining company,
710,Eversource Energy,ES,$82.78,"$28,832.88",Energy,
711,ESAB Corp,ESAB,$46.91,"$2,818.19",Healthcare,
712,ESCO Technologies Inc,ESE,$86.58,"$2,241.17",Machine industry,
713,Element Solutions,ESI,$18.37,"$4,447.11",Education,
714,Elbit Systems,ESLT,$168.35,"$26,734.03",Defense,
715,Elastic,ESTC,$55.53,"$5,308.96",-,
716,Earthstone Energy,ESTE,$13.32,"$1,860.52",Energy,
717,Eaton,ETN,$154.50,"$61,444.65",Manufacturer,
718,Entergy Corp,ETR,$114.45,"$23,288.70",Energy,
719,Equitrans Midstream,ETRN,$6.72,"$2,908.29",Gas Pipelines,
720,Etsy,ETSY,$126.32,"$15,876.95",Retail Solutions,
721,EverCommerce Inc.,EVCM,$6.59,"$1,273.20",Software,
722,Evolent Health Inc,EVH,$27.47,"$2,779.71",Healthcare,
723,Evercore,EVR,$107.43,"$4,172.34",Investment Manager,
724,Evergy,EVRG,$61.91,"$14,210.59",Electric Services,
725,Edwards Lifesciences,EW,$73.01,"$45,139.20",Artificial Heart Valves,
726,East West Bancorp,EWBC,$62.98,"$8,876.81",Financial Services,
727,European Wax Center,EWCZ,$13.24,$841.43,Waxing Services,
728,Exact Sciences Corporation,EXAS,$51.92,"$9,225.35",Biotechnology,
729,Exelon,EXC,$41.93,"$41,667.60",US Utilities,
730,Exelixis,EXEL,$15.94,"$5,141.63",Biotechnology,
731,Expensify,EXFY,$9.53,$723.66,Software,
732,ExlService Holdings,EXLS,$170.91,"$5,651.07",Analytics,
733,Eagle Materials Inc,EXP,$135.10,"$4,977.71",Building material,
734,Expedia,EXPE,$88.17,"$13,762.53",Online Travel Agent,
735,eXp World Holdings Inc,EXPI,$11.89,"$1,815.63",Real estate,
736,Exponent Inc,EXPO,$100.12,"$5,069.90",Research,
737,Extra Space Storage,EXR,$149.30,"$19,994.48",Real estate,
738,National Vision Holdings Inc,EYE,$37.81,"$2,983.68",Healthcare,
739,Ford,F,$12.12,"$48,728.39",Automobiles,
740,First Advantage Corporation,FA,$12.91,"$1,961.41",Background checks,
741,First American Corporation,FAF,$51.51,"$5,333.43",Financial,
742,Diamondback Energy Inc,FANG,$134.32,"$23,640.12",Oil & Gas,
743,Fastenal Company,FAST,$47.87,"$27,418.01",Industrial Products,
744,Fate Therapeutics Inc,FATE,$13.08,"$1,270.99",Biotech,
745,Flagstar Bancorp Inc,FBC,#N/A,#N/A,Banking,
746,Fortune Brands,FBHS,$57.13,"$7,326.50",Home & Security,
747,FB Financial Corp,FBK,$34.83,"$1,634.57",Bank holding,
748,First Bancorp,FBNC,$41.51,"$1,482.39",Bank holding,
749,First Bancorp,FBP,$12.42,"$2,292.87",Banking,
750,Franklin BSP Realty Trust Inc,FBRT,$13.36,"$1,101.93",Real estate,
751,FuelCell Energy,FCEL,$3.51,"$1,423.53",Energy,
752,First Commonwealth Financial,FCF,$13.46,"$1,256.85",Financials,
753,FirstCash,FCFS,$88.53,"$4,100.54",Operator of pawn stores,
754,FTI Consulting,FCN,$154.53,"$5,319.40",Advising,
755,First Citizens BancShares,FCNCA,$729.68,$163.92,Financial Services,
756,Four Corners Property Trust,FCPT,$26.08,"$2,187.78",Real estate,
757,Freeport,FCX,$38.36,"$54,828.98",Metals & Mining,
758,Fresh Del Monte Produce,FDP,$25.17,"$1,204.31",Processed Food,
759,FactSet Research Systems,FDS,$428.38,"$16,320.52",Financial Data,
760,FedEx,FDX,$171.72,"$44,684.93",Courier Delivery,
761,FirstEnergy,FE,$40.93,"$23,401.85",Energy Provider,
762,Franklin Electric,FELE,$79.43,"$3,679.08",Manufacturing,
763,FutureFuel,FF,$8.80,$385.12,Biofuels & Chemicals,
764,First Financial Bancorp,FFBC,$23.66,"$2,243.90",Banking,
765,F5 Networks,FFIV,$144.17,"$8,703.34",Software,
766,First Foundation,FFWM,$13.79,$777.59,Financial Services,
767,FibroGen,FGEN,$14.66,"$1,377.42",Biotechnology,
768,First Hawaiian,FHB,$24.49,"$3,126.90",Financial Services,
769,First Horizon National Corporation,FHN,$24.41,"$13,103.38",Banking,
770,First Interstate Bancsystem,FIBK,$37.69,"$3,936.63",Banking,
771,Fair Isaac,FICO,$590.63,"$14,751.34",Data analysis,
772,"FIGS, Inc.",FIGS,$7.08,"$1,175.02",Healthcare,
773,FTAI Infrastructure,FIP,$2.85,$283.25,Transport,
774,FIS,FIS,$69.22,"$41,073.72",Banking Payments,
775,Fiserv,FISV,$98.58,"$62,601.06",Financial Tech,
776,Fifth Third Bancorp,FITB,$31.60,"$21,690.12",Banking,
777,Five Below,FIVE,$175.42,"$9,738.21",Retail,
778,Five9,FIVN,$70.64,"$4,980.50",Software,
779,Comfort Systems USA Inc,FIX,$116.00,"$4,148.25",Industrials,
780,National Beverage,FIZZ,$47.13,"$4,399.72",Consumer Goods,
781,Foot Locker,FL,$34.19,"$3,190.63",Footwear Specialist,
782,Flextronics International,FLEX,$22.10,"$10,006.52",Electronics,
783,Fulgent Genetics Inc,FLGT,$31.21,$918.76,Clinical diagnostic,
784,Fluence Energy,FLNC,$19.93,"$3,464.64",Energy,
785,Flowers Foods,FLO,$28.69,"$6,057.41",Bakery,
786,Fluor Corporation,FLR,$33.46,"$4,754.27",EPC provider,
787,FleetCor Technologies,FLT,$181.25,"$13,367.62",Business Services,
788,Flywire Corporation,FLYW,$21.84,"$2,380.55",Global payments,
789,FMC Corporation,FMC,$124.30,"$15,657.55",Chemical manufacturing,
790,Fresenius Medical Care,FMS,$15.57,"$8,685.04",Healthcare,
791,Fomento Economico Mexicano,FMX,$76.12,"$25,271.51",Beverages,
792,"PARAGON 28, INC.",FNA,$20.14,"$1,553.34",Healthcare,
793,F.N.B. Corp,FNB,$12.60,"$4,419.88",Financial Services,
